Date,Adj Close,Close,High,Low,Open,Volume
10/4/2021,7011,7011,7072.5,7002.700195,7027.100098,792854800
10/5/2021,7077.100098,7077.100098,7084.5,7011,7011,846145500
10/6/2021,6995.899902,6995.899902,7077.100098,6945.5,7077.100098,944014100
10/7/2021,7078,7078,7094.899902,6995.899902,6995.899902,709629100
10/8/2021,7095.600098,7095.600098,7109.299805,7070.5,7078,707356500
10/11/2021,7146.899902,7146.899902,7146.899902,7085.899902,7095.600098,709511700
10/12/2021,7130.200195,7130.200195,7146.899902,7063.399902,7146.899902,815613600
10/13/2021,7141.799805,7141.799805,7152.899902,7087.899902,7130.200195,1041234500
10/14/2021,7207.700195,7207.700195,7216.200195,7141.799805,7141.799805,785955800
10/15/2021,7234,7234,7243.899902,7206.299805,7207.700195,813605700
10/18/2021,7203.799805,7203.799805,7234,7180.200195,7234,580835500
10/19/2021,7217.5,7217.5,7223.299805,7189.5,7203.799805,677316100
10/20/2021,7223.100098,7223.100098,7229.299805,7199.299805,7217.5,655710900
10/21/2021,7190.299805,7190.299805,7227.100098,7181.700195,7223.100098,615511300
10/22/2021,7204.600098,7204.600098,7235.200195,7190.299805,7190.299805,482745100
10/25/2021,7222.799805,7222.799805,7247.5,7204.600098,7204.600098,590620500
10/26/2021,7277.600098,7277.600098,7281.200195,7222.799805,7222.799805,683335400
10/27/2021,7253.299805,7253.299805,7280.5,7247.299805,7277.600098,606503800
10/28/2021,7249.5,7249.5,7257.899902,7219.700195,7253.299805,677063000
10/29/2021,7237.600098,7237.600098,7249.5,7192.100098,7249.5,875049200
11/1/2021,7288.600098,7288.600098,7303.399902,7237.600098,7237.600098,644379600
11/2/2021,7274.799805,7274.799805,7288.600098,7240,7288.600098,788360700
11/3/2021,7248.899902,7248.899902,7277.600098,7235.299805,7274.799805,729024900
11/4/2021,7279.899902,7279.899902,7293,7247.600098,7248.899902,988387200
11/5/2021,7304,7304,7331.299805,7270,7279.899902,829628100
11/8/2021,7300.399902,7300.399902,7316.5,7293.5,7304,617444100
11/9/2021,7274,7274,7314.100098,7268.799805,7300.399902,780375900
11/10/2021,7340.200195,7340.200195,7340.200195,7270.100098,7274,908302100
11/11/2021,7384.200195,7384.200195,7394.399902,7329.700195,7340.200195,672658500
11/12/2021,7347.899902,7347.899902,7402.700195,7340.5,7384.200195,766415500
11/15/2021,7351.899902,7351.899902,7363.5,7324.100098,7347.899902,604752800
11/16/2021,7327,7327,7368.299805,7324.100098,7351.899902,849713500
11/17/2021,7291.200195,7291.200195,7327,7290,7327,980280900
11/18/2021,7256,7256,7291.299805,7242,7291.200195,590225200
11/19/2021,7223.600098,7223.600098,7289.5,7198.799805,7256,1174484200
11/22/2021,7255.5,7255.5,7272.600098,7207.799805,7223.600098,638191500
11/23/2021,7266.700195,7266.700195,7293.100098,7204.399902,7255.5,624614500
11/24/2021,7286.299805,7286.299805,7307.899902,7246,7266.700195,661514300
11/25/2021,7310.399902,7310.399902,7311.899902,7286.299805,7286.299805,487924100
11/26/2021,7044,7044,7310.399902,7042.100098,7310.399902,1714871800
11/29/2021,7110,7110,7161.899902,7044,7044,945061900
11/30/2021,7059.5,7059.5,7110,6989.700195,7110,1459578100
12/1/2021,7168.700195,7168.700195,7182,7059.399902,7059.5,779578300
12/2/2021,7129.200195,7129.200195,7168.700195,7083.200195,7168.700195,724509800
12/3/2021,7122.299805,7122.299805,7196.100098,7105.299805,7129.200195,867111100
12/6/2021,7232.299805,7232.299805,7246.299805,7122.299805,7122.299805,637274000
12/7/2021,7339.899902,7339.899902,7344.700195,7232.299805,7232.299805,783615400
12/8/2021,7337.399902,7337.399902,7378.899902,7333.600098,7339.899902,776663000
12/9/2021,7321.299805,7321.299805,7366.100098,7303,7337.100098,615185100
12/10/2021,7291.799805,7291.799805,7331.600098,7284.799805,7321.299805,533854300
12/13/2021,7231.399902,7231.399902,7309.200195,7226.600098,7291.799805,1173948800
12/14/2021,7218.600098,7218.600098,7284.5,7218.600098,7231.399902,662325900
12/15/2021,7170.799805,7170.799805,7224.899902,7166.799805,7218.600098,813609300
12/16/2021,7260.600098,7260.600098,7273.299805,7170.799805,7170.799805,1155236100
12/17/2021,7269.899902,7269.899902,7286.5,7236.200195,7260.600098,1477578800
12/20/2021,7198,7198,7269.899902,7101,7269.899902,925062200
12/21/2021,7297.399902,7297.399902,7297.399902,7198,7198,683669700
12/22/2021,7341.700195,7341.700195,7341.700195,7273.5,7297.399902,514772900
